model,task,Seen,Unseen,gap_absolute,gap_percent
neodictabert,cls,0.9583331596816002,0.9234551434639645,0.03487801621763564,3.6394458300100596
dictabert,cls,0.9412740038771056,0.9221452323186075,0.019128771558498125,2.0322213807782594
alephbert-base,cls,0.9297719271726189,0.9096901114155727,0.020081815757046262,2.1598647119959695
alephbertgimmel-base,cls,0.9397793595386953,0.9075135892868156,0.03226577025187971,3.4333346358785586
xlm-roberta-base,cls,0.911947032863901,0.9068849845276102,0.005062048336290759,0.5550813976984801
bert-base-multilingual-cased,cls,0.8880392212317944,0.9034612402498291,-0.01542201901803475,-1.7366371494992026
dictabert,span,0.9942329811749057,0.760984673740325,0.2332483074345807,23.460125730183115
alephbertgimmel-base,span,0.9896273499912299,0.7469839504267989,0.24264339956443104,24.518663471313857
alephbert-base,span,0.993844968137144,0.6677099541354033,0.3261350140017406,32.81548173585321
neodictabert,span,0.9965326798161193,0.6612283521730395,0.3353043276430797,33.647098026424004
xlm-roberta-base,span,0.9934596127089154,0.6148452279661784,0.378614384742737,38.11069719385476
bert-base-multilingual-cased,span,0.9946165597380799,0.5881950045895299,0.40642155514855005,40.862134374233236
