model,split,id,error_category,base_pie,pie_span,sentence,analysis,category
bert-base-multilingual-cased,seen_test,22_lit_12,WRONG_SPAN,ירד לו האסימון,שירד לו האסימון,הוא התכופף והרים את האסימון אחרי שירד לו האסימון לרצפה,boundary,WRONG_SPAN
bert-base-multilingual-cased,seen_test,11_fig_33,MULTI_SPAN,הרים את הראש,הרימה את הראש,"היא לא הורידה את הראש גם כשהביקורת הייתה קשה וחדה, אלא הרימה את הראש בגאווה והוכיחה שכלכלית ונפשית היא מסוגלת לנצח בשוק תחרותי שבו רבים נעלמים.",boundary,MULTI_SPAN
bert-base-multilingual-cased,seen_test,1_lit_26,PERFECT,איבד את הצפון,איבדו את הצפון,הם איבדו את הצפון בסירה בלב הים,morphology,איבד את הצפון
bert-base-multilingual-cased,seen_test,1_lit_28,PERFECT,איבד את הצפון,איבדו את הצפון,הם איבדו את הצפון כשהמדריך נעלם,morphology,איבד את הצפון
bert-base-multilingual-cased,seen_test,3_lit_1,PERFECT,דרך במקום,תדרוך במקום,איך תגיע לקו הזינוק בזמן אם תדרוך במקום יותר מדי זמן במקום להתקדם? שאל המאמן את הנער שהתמהמה באימונים.,morphology,דרך במקום
bert-base-multilingual-cased,seen_test,3_lit_31,PERFECT,דרך במקום,דרכו במקום,הנערים דרכו במקום בזמן שהמורה ספר עד עשר.,morphology,דרך במקום
bert-base-multilingual-cased,seen_test,4_lit_7,PERFECT,הוריד את הכפפות,מורידה את הכפפות,"אם הילדה לא הייתה מורידה את הכפפות הצמריות לפני שנכנסה הביתה, אולי הייתה מונעת מהריח הרטוב של גשם להתפשט בכל הבית, לתסכולה של אמא.",morphology,הוריד את הכפפות
bert-base-multilingual-cased,seen_test,4_lit_9,PERFECT,הוריד את הכפפות,תוריד כפפות,"בדיוק כמוני אתה עלול לשכוח אותן שם ולגלות רק כעבור שעתיים שבמקום עבודה מסודר, שום דבר לא באמת נשאר שלך לכן אל תוריד כפפות במעלית כשאתה שקוע במחשבות.",morphology,הוריד את הכפפות
bert-base-multilingual-cased,seen_test,5_lit_1,PERFECT,הוריד פרופיל,הורידה פרופיל,"אחרי האבחון של בעיות גב כרוניות, היא הורידה פרופיל.",morphology,הוריד פרופיל
bert-base-multilingual-cased,seen_test,5_lit_4,PERFECT,הוריד פרופיל,הורידה פרופיל,"אחרי שעברה ניתוח מורכב, היא הורידה פרופיל צבאי והתאכזבה נורא מעצמה.",morphology,הוריד פרופיל
bert-base-multilingual-cased,seen_test,6_lit_27,PERFECT,החזיק אצבעות,החזיקה אצבעות,"הילדה, שבקושי הצליחה להסתיר את ההתרגשות, החזיקה אצבעות לילד שחיבבה בזמן שעלה לשיר על הבמה, ולחשה לחברתה “אם הוא יצליח, אני אומרת לו שאני אוהבת אותו”.",morphology,החזיק אצבעות
bert-base-multilingual-cased,seen_test,6_lit_38,PERFECT,החזיק אצבעות,החזיקה אצבעות,"לפני שבתי טעמה את העוגה לכבוד היום הולדת שלה, היא החזיקה אצבעות בהתרגשות רבה כי לא ידעה למה לצפות שתקבל במתנה",morphology,החזיק אצבעות
bert-base-multilingual-cased,seen_test,7_lit_10,PERFECT,הייתה בעננים,היה בעננים,"הבלון שvתנדנד ברוח כמו צעצוע קטן, היה בעננים.",morphology,הייתה בעננים
bert-base-multilingual-cased,seen_test,7_lit_14,PERFECT,הייתה בעננים,היה בעננים,החד-קרן הלבן היה בעננים וריחף מעל יערות קסומים ונהנה לו,morphology,הייתה בעננים
bert-base-multilingual-cased,seen_test,8_lit_1,PERFECT,הלך בין טיפות,הלך בין הטיפות,"אחרי הפציעה, הוא הלך בין הטיפות של הדם במסדרון.",morphology,הלך בין טיפות
bert-base-multilingual-cased,seen_test,8_lit_12,PERFECT,הלך בין טיפות,הלכה בין הטיפות,"בנעליים פתוחות, היא הלכה בין הטיפות.",morphology,הלך בין טיפות
bert-base-multilingual-cased,seen_test,9_lit_8,PERFECT,הלך על ביצים,הלכו על ביצים,"בתחרות הספורט הלא שגרתית במתנ״ס, המתמודדים הלכו על ביצים כחלק ממשחק שיווי משקל, ואם היית רואה כמה רציניים הם נראו – היית חושב שמדובר באולימפיאדה.",morphology,הלך על ביצים
bert-base-multilingual-cased,seen_test,9_lit_18,PERFECT,הלך על ביצים,הלכה על ביצים,היא הלכה על ביצים באתגר שראו בטלוויזיה,morphology,הלך על ביצים
bert-base-multilingual-cased,seen_test,10_lit_21,PERFECT,הניף דגל לבן,והניפה דגל לבן,הילדה הכינה והניפה דגל לבן ונופפה לחבר שלה לשלום כאשר הוא עזב אותה באמצע היום.,morphology,הניף דגל לבן
bert-base-multilingual-cased,seen_test,10_lit_25,PERFECT,הניף דגל לבן,הניפו דגל לבן,הם הניפו דגל לבן כדי להכריז על סיום המשחק.,morphology,הניף דגל לבן
bert-base-multilingual-cased,seen_test,11_lit_7,PERFECT,הרים את הראש,מרימה את הראש,"אם היא לא הייתה מרימה את הראש מהספר באותו רגע, לא הייתה שמה לב שחברתה הטובה בוכה בשקט מולה, מה שגרם לה לסגור את הספר ולתפוס לה את היד.",morphology,הרים את הראש
bert-base-multilingual-cased,seen_test,11_fig_12,PERFECT,הרים את הראש,הרם את הראש,"אל תרים ידיים כשקשה בעבודה – הרם את הראש, למד מהטעויות, ותוכיח שאפילו חברה במשבר יכולה לצמוח אם יש לה אנשים שמאמינים בעצמם.",morphology,הרים את הראש
