model,split,id,error_category,context_ratio,context_ig_sum,idiom_ig_sum,top_context_tokens,top_idiom_tokens,sentence,base_pie,pie_span
dictabert,unseen_test,49_fig_13,PARTIAL_END,1.7915611792289834,39.2633119225502,21.91569697856903,כקשקשן | כשהמשיך | ולא | הצטייר,הזנב,הוא הצטייר כקשקשן לא רצני שרץ אחרי הזנב של עצמו כשהמשיך להבטיח ולא לקיים,רץ אחרי הזנב של עצמו,שרץ אחרי הזנב של עצמו
dictabert,unseen_test,49_lit_20,PARTIAL_END,1.453875005438059,37.3685382604599,25.702717304229736,מול | השכן | הפנס | הג'ינג'י,הזנב,החתול הג'ינג'י של השכן רץ אחרי הזנב של עצמו מול אור הפנס,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
dictabert,unseen_test,49_lit_34,PARTIAL_END,1.4259225509362903,40.67064917087555,28.522340953350067,שתפסתי | הלטאה | החול,הזנב | עצמה,הלטאה במדבר רצה אחרי הזנב של עצמה בין החול עד שתפסתי אותה,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
dictabert,unseen_test,49_fig_25,PARTIAL_END,1.351599388654093,49.11039638519287,36.33502411842346,כשהמשיכה | קידמה,הזנב | עצמה | אחרי,היא רצה אחרי הזנב של עצמה כשהמשיכה להתעסק ברכילות מיותרת שלא קידמה אותה לשום מקום,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
dictabert,unseen_test,49_fig_37,PARTIAL_END,1.2565607168672106,25.810346364974976,20.54046893119812,כשהתמקדה | בפרטים | זניחים,הזנב | עצמה,כשהתמקדה בפרטים זניחים במקום בעיקר היא רצה אחרי הזנב של עצמה,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
dictabert,unseen_test,49_fig_23,MULTI_SPAN,0.8399197638445918,32.73798197507858,38.977511167526245,במקום | היא | ונשארה,הזנב | עצמה,היא רצה אחרי הזנב של עצמה כי לא ידעה להגיד לא ונשארה במקום,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
dictabert,unseen_test,49_fig_36,PARTIAL_END,0.7748722201290844,19.518097758293152,25.18879532814026,כשהתווכחו | בלי | להחלטה,הזנב | אחרי,כשהתווכחו בלי להגיע להחלטה הם רצו אחרי הזנב של עצמם,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
dictabert,unseen_test,49_fig_27,PARTIAL_END,0.7159236044951354,23.971585512161255,33.4834406375885,עם | חוזרים,הזנב | עצמה | אחרי,היא רצה אחרי הזנב של עצמה עם ניסיונות חוזרים להוכיח את עצמה,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
dictabert,unseen_test,49_fig_11,PARTIAL_END,0.6396908109692288,14.456607341766357,22.599366903305054,בפרויקט | הוביל,הזנב | רצו | של,בפרויקט טכנולוגי שלא הוביל לשום דבר הם רצו אחרי הזנב של עצמם,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
dictabert,unseen_test,49_lit_18,MISS,0.5424157166354732,16.734035789966583,30.850941956043243,שנפל | העצים,הזנב | של | עצמו,הזאב ביער רץ אחרי הזנב של עצמו עד שנפל בין העצים,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
dictabert,unseen_test,49_lit_28,PARTIAL_END,0.5130593362590615,24.577029824256897,47.902899503707886,וכולם | הגדול,הזנב | של | עצמו,הכלב החום הגדול רץ אחרי הזנב של עצמו וכולם צחקו סביבו,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
dictabert,unseen_test,49_fig_31,PARTIAL_END,0.447075969891212,15.667297005653381,35.04392555356026,חילקו,הזנב | עצמם | של | אחרי,הם רצו אחרי הזנב של עצמם כי לא חילקו משימות נכון,רץ אחרי הזנב של עצמו,רצו אחרי הזנב של עצמם
dictabert,unseen_test,49_lit_19,PARTIAL_END,0.26468901793961747,11.138803958892822,42.08260715007782,באגדה | מוזרה,הזנב | עצמו | של,החמור באגדה רץ אחרי הזנב של עצמו בעקשנות מוזרה,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
dictabert,unseen_test,49_lit_30,MISS,0.1755326769334324,7.8000649362802505,44.43654066324234,בחצר,הזנב | עצמו | של | רץ,הכלב רץ אחרי הזנב של עצמו בחצר הגדולה,רץ אחרי הזנב של עצמו,רץ אחרי הזנב של עצמו
xlm-roberta-base,unseen_test,55_fig_32,WRONG_SPAN,36.59300929548349,259.39984208345413,7.088781356811523,את | בכיתה | הסטודנטית | כולם | מול,,הסטודנטית שברה שתיקה ושיתפה את תחושות החרדה שלה בכיתה מול כולם,שבר שתיקה,שברה שתיקה
xlm-roberta-base,unseen_test,55_fig_23,MISS,5.8963665131116665,386.33812403678894,65.52138900756836,הודתה | מבפנים | שנים | שהרגישה | היא,,היא הודתה שהרגישה כעס גדול מבפנים ושברה שתיקה של שנים,שבר שתיקה,ושברה שתיקה
xlm-roberta-base,unseen_test,55_fig_33,PARTIAL_END,4.180175682121524,208.36393558979034,49.845736503601074,הקשים | העובד | העבודה | תנאי,שתיקה,העובד שבר שתיקה וסיפר על תנאי העבודה הקשים,שבר שתיקה,שבר שתיקה
xlm-roberta-base,unseen_test,55_fig_21,PARTIAL_END,3.3518508580410895,152.66374921798706,45.546104431152344,החייל | שלו | שפחד,שבר | שתיקה,החייל שבר שתיקה והודה שפחד בקרב הראשון שלו,שבר שתיקה,שבר שתיקה
xlm-roberta-base,unseen_test,49_fig_24,PARTIAL_END,3.0093511371694937,480.83096408843994,159.77894973754883,ניסתה | הזמן | לשמח | את,רצה,היא רצה אחרי הזנב של עצמה כי ניסתה לשמח את כולם כל הזמן,רץ אחרי הזנב של עצמו,רצה אחרי הזנב של עצמה
xlm-roberta-base,unseen_test,49_fig_13,PARTIAL_END,2.831564164772753,487.6298785209656,172.21219444274902,רצני | הצטייר | כשהמשיך,הזנב | של,הוא הצטייר כקשקשן לא רצני שרץ אחרי הזנב של עצמו כשהמשיך להבטיח ולא לקיים,רץ אחרי הזנב של עצמו,שרץ אחרי הזנב של עצמו
