split,model,category,id,sentence,cls_true,cls_pred,cls_confidence,span_error_category
seen_test,neodictabert,cls_only,22_lit_12,הוא התכופף והרים את האסימון אחרי שירד לו האסימון לרצפה,0,0,0.9528449773788452,MULTI_SPAN
seen_test,neodictabert,span_only,1_lit_28,הם איבדו את הצפון כשהמדריך נעלם,0,1,0.9481639862060547,PERFECT
seen_test,neodictabert,span_only,22_fig_12,"הוא הביט במסך הניתוח שפרס הרופא לפניו, וירד לו האסימון כמה מזל היה לו שהגיע לבדיקה בזמן – לפעמים חיים שלמים תלויים ברגע אחד של הקשבה לעצמך.",1,0,0.951738178730011,PERFECT
seen_test,neodictabert,span_only,25_fig_10,הוא בלבל את חבריו בעד מי הוא משחק לאחר שירה לכל הכיוונים באמצע תחרות פינג פונג.,1,0,0.8370763063430786,PERFECT
seen_test,neodictabert,span_only,25_fig_17,"הוא ירה לכל הכיוונים, אבל לא פגע בשום מטרה.",1,0,0.9394730925559998,PERFECT
seen_test,neodictabert,span_only,25_lit_36,"למרות האזהרות, היא ירתה לכל הכיוונים.",0,1,0.8165355920791626,PERFECT
seen_test,xlm-roberta-base,cls_only,11_fig_12,"אל תרים ידיים כשקשה בעבודה – הרם את הראש, למד מהטעויות, ותוכיח שאפילו חברה במשבר יכולה לצמוח אם יש לה אנשים שמאמינים בעצמם.",1,1,0.9592739343643188,WRONG_SPAN
seen_test,xlm-roberta-base,cls_only,10_lit_40,קבוצת הילדים הניפה דגל לבן עשוי סדין כשהפסידו בטורניר השכונתי.,0,0,0.9586802124977112,PARTIAL_END
seen_test,xlm-roberta-base,cls_only,11_fig_33,"היא לא הורידה את הראש גם כשהביקורת הייתה קשה וחדה, אלא הרימה את הראש בגאווה והוכיחה שכלכלית ונפשית היא מסוגלת לנצח בשוק תחרותי שבו רבים נעלמים.",1,1,0.9586619138717651,MULTI_SPAN
seen_test,xlm-roberta-base,cls_only,22_lit_12,הוא התכופף והרים את האסימון אחרי שירד לו האסימון לרצפה,0,0,0.9531692266464233,MULTI_SPAN
seen_test,xlm-roberta-base,span_only,12_fig_14,הוא הרים גבה ולא הבין אם מדובר בבדיחה או ברצינות.,1,0,0.7215368747711182,PERFECT
seen_test,xlm-roberta-base,span_only,12_lit_15,הוא הרים גבה כשניסה לבדוק את התוצאה של ניתוח קוסמטי.,0,1,0.9409916996955872,PERFECT
seen_test,xlm-roberta-base,span_only,16_lit_4,"אחרי שעמדו שעות בתור בשדה התעופה בלי מזגן והעובדים במקום טענו שאם משרד הבריאות לא יבדוק את התנאים, זה רק יחמיר בקיץ, אך למרות התלונה הם עדיין חטפו חום.",0,1,0.9389102458953857,PERFECT
