model,task,split,idiom_id,base_pie,f1_mean,f1_std,precision_mean,recall_mean,num_samples_total,n_seeds
alephbert-base,cls,seen_test,1,איבד את הצפון,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,3,דרך במקום,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,4,הוריד את הכפפות,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,5,הוריד פרופיל,0.832010582010582,0.07102324740031109,0.85,0.8333333333333334,24,3
alephbert-base,cls,seen_test,6,החזיק אצבעות,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbert-base,cls,seen_test,7,הייתה בעננים,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,8,הלך בין טיפות,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,9,הלך על ביצים,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,10,הניף דגל לבן,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbert-base,cls,seen_test,11,הרים את הראש,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbert-base,cls,seen_test,12,הרים גבה,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,13,הרים ידיים,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,14,חותך כמו סכין,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,15,חזר למסלול,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,16,חטף חום,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbert-base,cls,seen_test,17,חטף מכה,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,18,חיבר נקודות,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,21,יצא מהקופסה,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbert-base,cls,seen_test,22,ירד לו האסימון,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,23,ירד מהעץ,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,24,ירד מהפסים,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,25,ירה לכל הכיוונים,0.5285714285714286,0.08010763733933678,0.5444444444444444,0.5416666666666666,24,3
alephbert-base,cls,seen_test,26,ירק דם,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,27,לב זהב,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,28,לקח צעד אחורה,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbert-base,cls,seen_test,29,משך בחוטים,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,30,נכנס מתחת לאלונקה,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbert-base,cls,seen_test,31,נפל בין הכיסאות,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,32,נפל מהכיסא,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbert-base,cls,seen_test,34,נשבר מבפנים,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,35,נשך שפתיים,0.9153439153439153,0.07331431989709533,0.9333333333333332,0.9166666666666666,24,3
alephbert-base,cls,seen_test,36,נתן גז,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,37,נתן יד,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,38,סגר חשבון,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,39,עשה סלט,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,40,עשה סצנה,0.6202020202020203,0.09797459113520922,0.8015873015873015,0.6666666666666666,24,3
alephbert-base,cls,seen_test,41,פתח דלתות,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,42,פתח דף חדש,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,43,פתח עיניים,0.7444444444444445,0.00962250448649373,0.7777777777777777,0.75,24,3
alephbert-base,cls,seen_test,44,קבר את עצמו,0.8264550264550264,0.08064575188680485,0.8777777777777778,0.8333333333333334,24,3
alephbert-base,cls,seen_test,45,קיבל סטירה,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,46,קיפל את הזנב,0.77989417989418,0.08064575188680485,0.8555555555555555,0.7916666666666666,24,3
alephbert-base,cls,seen_test,47,קפא במקום,0.9576719576719577,0.07331431989709533,0.9666666666666667,0.9583333333333334,24,3
alephbert-base,cls,seen_test,48,קפץ למים,0.77989417989418,0.08064575188680485,0.8555555555555555,0.7916666666666666,24,3
alephbert-base,cls,seen_test,50,שבר את הכלים,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,51,שבר את הלב,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,52,שבר את הקרח,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,53,שבר את הראש,0.873015873015873,0.0,0.9,0.875,24,3
alephbert-base,cls,seen_test,54,שבר את תקרת הזכוכית,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,56,שחרר קיטור,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,57,שיחק באש,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,58,שם עליו פס,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,59,שם רגליים,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,seen_test,60,שפכה אור,1.0,0.0,1.0,1.0,24,3
alephbert-base,cls,unseen_test,2,איבד את הראש,0.928802126339746,0.007320318420308936,0.9380032206119161,0.9291666666666667,240,3
alephbert-base,cls,unseen_test,19,חצה קו אדום,0.9833320310465177,0.007215750551404951,0.9835365853658536,0.9833333333333334,240,3
alephbert-base,cls,unseen_test,20,חתך פינה,0.8864530997265999,0.012627213429228765,0.9023445895121428,0.8875000000000001,240,3
alephbert-base,cls,unseen_test,33,נשאר מאחור,0.9289332514030573,0.00734374963291747,0.9346834655226971,0.9291666666666667,240,3
alephbert-base,cls,unseen_test,49,רץ אחרי הזנב של עצמו,0.9707503317001125,0.029007893064934922,0.9733514001806686,0.9708333333333333,240,3
alephbert-base,cls,unseen_test,55,שבר שתיקה,0.7433750103675137,0.060540238169230945,0.8295695982014113,0.7583333333333333,240,3
alephbert-base,span,seen_test,1,איבד את הצפון,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,3,דרך במקום,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,4,הוריד את הכפפות,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,5,הוריד פרופיל,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,6,החזיק אצבעות,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,7,הייתה בעננים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,8,הלך בין טיפות,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,9,הלך על ביצים,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,10,הניף דגל לבן,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,11,הרים את הראש,0.9063180827886711,0.030188249369392135,0.8296296296296296,1.0,24,3
alephbert-base,span,seen_test,12,הרים גבה,1.0,0.0,1.0,1.0,24,3
alephbert-base,span,seen_test,13,הרים ידיים,1.0,0.0,1.0,1.0,24,3
