split,task,anchor_model,id,selection_reason,base_pie,pie_span,sentence,target_expressions
seen_test,cls,neodictabert,1_fig_39,low_conf_correct,איבד את הצפון,איבדה את הצפון,"מרוב התרגשות בטקס, היא איבדה את הצפון ולא הצליחה להשתלט על פרץ הבכי.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,4_lit_9,low_conf_correct,הוריד את הכפפות,תוריד כפפות,"בדיוק כמוני אתה עלול לשכוח אותן שם ולגלות רק כעבור שעתיים שבמקום עבודה מסודר, שום דבר לא באמת נשאר שלך לכן אל תוריד כפפות במעלית כשאתה שקוע במחשבות.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,6_lit_38,low_conf_correct,החזיק אצבעות,החזיקה אצבעות,"לפני שבתי טעמה את העוגה לכבוד היום הולדת שלה, היא החזיקה אצבעות בהתרגשות רבה כי לא ידעה למה לצפות שתקבל במתנה","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,6_fig_3,low_conf_correct,החזיק אצבעות,יחזיק אצבעות,"אם הוא לא יחזיק אצבעות שהמחשב יעבוד בזמן המצגת, כנראה שגם כישרון לא יציל אותו; אבל הפעם, אולי בזכות הלחץ או הנס, השקופיות הופיעו בדיוק בזמן.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,6_fig_22,low_conf_correct,החזיק אצבעות,החזיקו אצבעות,"הם החזיקו אצבעות בזמן השקת המוצר החדש, עקבו אחרי הגרף של המכירות בזמן אמת, וכל עלייה קטנה נראתה להם כמו ניצחון – “נו, כבר, תראה סימן של חיים!” לחש אחד מהם למסך.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,25_lit_36,frequent_idiom_error,ירה לכל הכיוונים,ירתה לכל הכיוונים,"למרות האזהרות, היא ירתה לכל הכיוונים.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,1_lit_28,frequent_idiom_error,איבד את הצפון,איבדו את הצפון,הם איבדו את הצפון כשהמדריך נעלם,"עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,3_lit_1,frequent_idiom_error,דרך במקום,תדרוך במקום,איך תגיע לקו הזינוק בזמן אם תדרוך במקום יותר מדי זמן במקום להתקדם? שאל המאמן את הנער שהתמהמה באימונים.,"עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,22_fig_12,ensure_error_case,ירד לו האסימון,וירד לו האסימון,"הוא הביט במסך הניתוח שפרס הרופא לפניו, וירד לו האסימון כמה מזל היה לו שהגיע לבדיקה בזמן – לפעמים חיים שלמים תלויים ברגע אחד של הקשבה לעצמך.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,46_lit_23,ensure_error_case,קיפל את הזנב,קיפל את הזנב,הטיגריס קיפל את הזנב לאחר שהפסיד בקרב מול יריבו.,"עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
seen_test,cls,neodictabert,40_lit_5,target_expression,עשה סצנה,עשתה סצנה,"בסדרה טלוויזיונית אהובה, שחקנית הקולנוע המיתולוגית עשתה סצנה מרגשת במיוחד.","עשה סצנה, ירה לכל הכיוונים, קיפל את הזנב, החזיק אצבעות, קבר את עצמו, ירד לו האסימון"
