model,task,split,seed,idiom_id,base_pie,f1,precision,recall,num_samples
alephbert-base,cls,seen_test,42,1,איבד את הצפון,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,3,דרך במקום,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,4,הוריד את הכפפות,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,5,הוריד פרופיל,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,6,החזיק אצבעות,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,7,הייתה בעננים,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,9,הלך על ביצים,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,10,הניף דגל לבן,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,11,הרים את הראש,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,12,הרים גבה,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,13,הרים ידיים,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,15,חזר למסלול,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,16,חטף חום,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,17,חטף מכה,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,18,חיבר נקודות,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,21,יצא מהקופסה,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,22,ירד לו האסימון,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,23,ירד מהעץ,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,24,ירד מהפסים,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,25,ירה לכל הכיוונים,0.4666666666666667,0.5,0.5,8
alephbert-base,cls,seen_test,42,26,ירק דם,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,27,לב זהב,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,28,לקח צעד אחורה,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,29,משך בחוטים,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,30,נכנס מתחת לאלונקה,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbert-base,cls,seen_test,42,32,נפל מהכיסא,0.873015873015873,0.9,0.875,8
alephbert-base,cls,seen_test,42,34,נשבר מבפנים,1.0,1.0,1.0,8
