model,seed,seen_f1_seed,id,base_pie,sentence,gold_span,predicted_span,error_category,explanation
neodictabert,456,0.9977,19_lit_1,חצה קו אדום,"אם הולך הרגל לא היה חוצה את הקו האדום ברמזור, ייתכן שלא היה כמעט נפגע מהרכב שחלף במהירות – לפעמים שנייה אחת משנה הכול.",חוצה את הקו האדום,חוצה את הקו,PARTIAL_END,Model truncated the idiom ending (end‑boundary miss). Missing tokens: האדום.
neodictabert,456,0.9977,49_lit_1,רץ אחרי הזנב של עצמו,"אל תיבהל אם תראה את הכלב רץ אחרי הזנב של עצמו בפארק, אמר השומר לזקן שישב על הספסל – זה בסך הכול סימן שהוא שמח מדי, לא משוגע.",רץ אחרי הזנב של עצמו,רץ אחרי הזנב,PARTIAL_END,"Model truncated the idiom ending (end‑boundary miss). Missing tokens: של, עצמו."
neodictabert,456,0.9977,2_lit_1,איבד את הראש,"אם החייל הקטן היה עשוי מברזל ולא מפלסטיק זול, הוא לא היה מאבד את הראש בקרב המדומיין, אבל אולי אז היה מאבד משהו אחר – את הדמיון של הילד ששיחק בו.",מאבד את הראש,,MISS,Model predicted no span despite gold idiom.
neodictabert,456,0.9977,33_lit_1,נשאר מאחור,"אם המטופל נשאר מאחור בתור לחיסון, אולי זה סימן שהוא פשוט חושש, אמר הרופא, ויצא לדבר איתו באופן אישי.",נשאר מאחור,,MISS,Model predicted no span despite gold idiom.
neodictabert,456,0.9977,20_lit_24,חתך פינה,היא נחתכה באצבע כאשר חתכה פינה מהדגם.,חתכה פינה,נחתכה באצבע,WRONG_SPAN,"Predicted a different span than the gold idiom. Predicted different tokens: נחתכה, באצבע."
xlm-roberta-base,456,0.9931,19_lit_1,חצה קו אדום,"אם הולך הרגל לא היה חוצה את הקו האדום ברמזור, ייתכן שלא היה כמעט נפגע מהרכב שחלף במהירות – לפעמים שנייה אחת משנה הכול.",חוצה את הקו האדום,חוצה את הקו,PARTIAL_END,Model truncated the idiom ending (end‑boundary miss). Missing tokens: האדום.
xlm-roberta-base,456,0.9931,49_lit_1,רץ אחרי הזנב של עצמו,"אל תיבהל אם תראה את הכלב רץ אחרי הזנב של עצמו בפארק, אמר השומר לזקן שישב על הספסל – זה בסך הכול סימן שהוא שמח מדי, לא משוגע.",רץ אחרי הזנב של עצמו,רץ אחרי הזנב,PARTIAL_END,"Model truncated the idiom ending (end‑boundary miss). Missing tokens: של, עצמו."
xlm-roberta-base,456,0.9931,33_lit_1,נשאר מאחור,"אם המטופל נשאר מאחור בתור לחיסון, אולי זה סימן שהוא פשוט חושש, אמר הרופא, ויצא לדבר איתו באופן אישי.",נשאר מאחור,,MISS,Model predicted no span despite gold idiom.
xlm-roberta-base,456,0.9931,55_lit_3,שבר שתיקה,"אם התינוק ישבור שתיקה הלילה ויתחיל לבכות שוב, אני נשבעת שאני פשוט עוברת לישון בסלון.",ישבור שתיקה,,MISS,Model predicted no span despite gold idiom.
xlm-roberta-base,456,0.9931,20_lit_24,חתך פינה,היא נחתכה באצבע כאשר חתכה פינה מהדגם.,חתכה פינה,נחתכה באצבע,WRONG_SPAN,"Predicted a different span than the gold idiom. Predicted different tokens: נחתכה, באצבע."
