id,split,label,base_pie,tsne_x,tsne_y
1_lit_26,seen,0,איבד את הצפון,24.689638,-1.656819
1_lit_28,seen,0,איבד את הצפון,-50.646572,-1.2545626
1_lit_32,seen,0,איבד את הצפון,23.940203,3.1258204
1_lit_37,seen,0,איבד את הצפון,21.991705,0.6408245
1_fig_6,seen,1,איבד את הצפון,-21.62547,12.489072
1_fig_10,seen,1,איבד את הצפון,-46.157047,1.1971927
1_fig_34,seen,1,איבד את הצפון,-35.53453,16.308224
1_fig_39,seen,1,איבד את הצפון,-41.34137,4.7507963
3_lit_1,seen,0,דרך במקום,-3.3873365,-0.9394858
3_lit_18,seen,0,דרך במקום,50.527565,4.7834063
3_lit_31,seen,0,דרך במקום,39.846943,3.9247706
3_lit_32,seen,0,דרך במקום,33.83107,8.490097
3_fig_5,seen,1,דרך במקום,-31.880144,6.0679226
3_fig_7,seen,1,דרך במקום,-30.64872,-9.053738
3_fig_16,seen,1,דרך במקום,-26.209585,-4.790965
3_fig_34,seen,1,דרך במקום,-23.167006,1.7454362
4_lit_7,seen,0,הוריד את הכפפות,36.95922,11.361092
4_lit_9,seen,0,הוריד את הכפפות,-1.2517152,-0.35959673
4_lit_25,seen,0,הוריד את הכפפות,37.07185,11.060393
4_lit_30,seen,0,הוריד את הכפפות,41.729443,7.973216
4_fig_18,seen,1,הוריד את הכפפות,-27.912783,9.880149
4_fig_19,seen,1,הוריד את הכפפות,-26.79827,8.826481
4_fig_29,seen,1,הוריד את הכפפות,-21.04907,-10.516777
4_fig_36,seen,1,הוריד את הכפפות,-27.417019,6.4931493
5_lit_1,seen,0,הוריד פרופיל,20.412157,17.627037
5_lit_4,seen,0,הוריד פרופיל,19.924265,17.88255
5_lit_17,seen,0,הוריד פרופיל,20.258596,17.66796
5_lit_23,seen,0,הוריד פרופיל,20.7433,17.774628
5_fig_12,seen,1,הוריד פרופיל,9.037239,5.796114
5_fig_13,seen,1,הוריד פרופיל,-13.007745,-20.049515
5_fig_17,seen,1,הוריד פרופיל,-21.572435,5.9566393
5_fig_38,seen,1,הוריד פרופיל,-21.534822,4.0304484
6_lit_9,seen,0,החזיק אצבעות,-39.262245,-13.424055
6_lit_27,seen,0,החזיק אצבעות,51.126064,6.44459
6_lit_37,seen,0,החזיק אצבעות,46.91614,6.263572
6_lit_38,seen,0,החזיק אצבעות,52.51552,6.1849456
6_fig_1,seen,1,החזיק אצבעות,-23.333862,1.4202665
