id,split,label,base_pie,tsne_x,tsne_y
1_lit_26,seen,0,איבד את הצפון,-40.15406,-4.4778776
1_lit_28,seen,0,איבד את הצפון,13.183856,14.775106
1_lit_32,seen,0,איבד את הצפון,-27.002115,16.634615
1_lit_37,seen,0,איבד את הצפון,-31.304596,5.9968634
1_fig_6,seen,1,איבד את הצפון,13.301885,9.860075
1_fig_10,seen,1,איבד את הצפון,35.860443,-6.138148
1_fig_34,seen,1,איבד את הצפון,31.022087,1.715769
1_fig_39,seen,1,איבד את הצפון,-25.612577,1.4893088
3_lit_1,seen,0,דרך במקום,2.6013834,13.631292
3_lit_18,seen,0,דרך במקום,-26.0305,18.05101
3_lit_31,seen,0,דרך במקום,-34.24127,-12.882921
3_lit_32,seen,0,דרך במקום,-6.121934,13.415671
3_fig_5,seen,1,דרך במקום,42.006187,-25.33515
3_fig_7,seen,1,דרך במקום,16.240005,14.199206
3_fig_16,seen,1,דרך במקום,35.620502,-5.7059717
3_fig_34,seen,1,דרך במקום,25.910265,-4.729622
4_lit_7,seen,0,הוריד את הכפפות,-33.431293,13.460103
4_lit_9,seen,0,הוריד את הכפפות,9.156783,12.191019
4_lit_25,seen,0,הוריד את הכפפות,-26.146645,19.525112
4_lit_30,seen,0,הוריד את הכפפות,-40.713314,-15.229753
4_fig_18,seen,1,הוריד את הכפפות,27.539553,7.9966984
4_fig_19,seen,1,הוריד את הכפפות,35.70245,2.54266
4_fig_29,seen,1,הוריד את הכפפות,29.689526,4.781531
4_fig_36,seen,1,הוריד את הכפפות,17.772118,8.314802
5_lit_1,seen,0,הוריד פרופיל,-47.65609,-16.394892
5_lit_4,seen,0,הוריד פרופיל,21.970705,-0.5508135
5_lit_17,seen,0,הוריד פרופיל,-38.626278,-5.567183
5_lit_23,seen,0,הוריד פרופיל,-34.158722,-2.555063
5_fig_12,seen,1,הוריד פרופיל,3.84584,14.127834
5_fig_13,seen,1,הוריד פרופיל,35.762943,-19.584867
5_fig_17,seen,1,הוריד פרופיל,14.387153,13.045781
5_fig_38,seen,1,הוריד פרופיל,36.497383,-5.1499896
6_lit_9,seen,0,החזיק אצבעות,10.481294,12.629702
6_lit_27,seen,0,החזיק אצבעות,-33.248978,-1.7821347
6_lit_37,seen,0,החזיק אצבעות,-37.388123,-11.039621
6_lit_38,seen,0,החזיק אצבעות,-30.203295,-7.880224
6_fig_1,seen,1,החזיק אצבעות,29.67519,-7.2117767
