model,task,split,error_category,count,total,percentage
alephbert-base,cls,Seen,CORRECT,1205,1296,92.97839506172839
alephbert-base,cls,Seen,FALSE_NEGATIVE,53,1296,4.089506172839506
alephbert-base,cls,Seen,FALSE_POSITIVE,38,1296,2.9320987654320985
alephbert-base,cls,Unseen,CORRECT,1310,1440,90.97222222222221
alephbert-base,cls,Unseen,FALSE_NEGATIVE,54,1440,3.75
alephbert-base,cls,Unseen,FALSE_POSITIVE,76,1440,5.277777777777778
alephbert-base,span,Seen,MISS,3,1296,0.23148148148148145
alephbert-base,span,Seen,MULTI_SPAN,8,1296,0.6172839506172839
alephbert-base,span,Seen,PARTIAL_END,1,1296,0.07716049382716049
alephbert-base,span,Seen,PERFECT,1284,1296,99.07407407407408
alephbert-base,span,Unseen,EXTEND_END,2,1440,0.1388888888888889
alephbert-base,span,Unseen,MISS,183,1440,12.708333333333332
alephbert-base,span,Unseen,MULTI_SPAN,14,1440,0.9722222222222222
alephbert-base,span,Unseen,PARTIAL_END,334,1440,23.194444444444446
alephbert-base,span,Unseen,PERFECT,906,1440,62.916666666666664
alephbert-base,span,Unseen,WRONG_SPAN,1,1440,0.06944444444444445
alephbertgimmel-base,cls,Seen,CORRECT,1218,1296,93.98148148148148
alephbertgimmel-base,cls,Seen,FALSE_NEGATIVE,52,1296,4.012345679012346
alephbertgimmel-base,cls,Seen,FALSE_POSITIVE,26,1296,2.006172839506173
alephbertgimmel-base,cls,Unseen,CORRECT,1307,1440,90.76388888888889
alephbertgimmel-base,cls,Unseen,FALSE_NEGATIVE,42,1440,2.9166666666666665
alephbertgimmel-base,cls,Unseen,FALSE_POSITIVE,91,1440,6.319444444444445
alephbertgimmel-base,span,Seen,MISS,6,1296,0.4629629629629629
alephbertgimmel-base,span,Seen,MULTI_SPAN,12,1296,0.9259259259259258
alephbertgimmel-base,span,Seen,PARTIAL_END,1,1296,0.07716049382716049
alephbertgimmel-base,span,Seen,PERFECT,1276,1296,98.4567901234568
alephbertgimmel-base,span,Seen,WRONG_SPAN,1,1296,0.07716049382716049
alephbertgimmel-base,span,Unseen,MISS,124,1440,8.61111111111111
alephbertgimmel-base,span,Unseen,MULTI_SPAN,5,1440,0.3472222222222222
alephbertgimmel-base,span,Unseen,PARTIAL_END,261,1440,18.125
alephbertgimmel-base,span,Unseen,PERFECT,1043,1440,72.43055555555556
alephbertgimmel-base,span,Unseen,WRONG_SPAN,7,1440,0.4861111111111111
bert-base-multilingual-cased,cls,Seen,CORRECT,1151,1296,88.81172839506173
bert-base-multilingual-cased,cls,Seen,FALSE_NEGATIVE,89,1296,6.867283950617284
bert-base-multilingual-cased,cls,Seen,FALSE_POSITIVE,56,1296,4.320987654320987
bert-base-multilingual-cased,cls,Unseen,CORRECT,1301,1440,90.34722222222223
bert-base-multilingual-cased,cls,Unseen,FALSE_NEGATIVE,73,1440,5.069444444444445
bert-base-multilingual-cased,cls,Unseen,FALSE_POSITIVE,66,1440,4.583333333333333
bert-base-multilingual-cased,span,Seen,MULTI_SPAN,8,1296,0.6172839506172839
bert-base-multilingual-cased,span,Seen,PERFECT,1285,1296,99.15123456790124
bert-base-multilingual-cased,span,Seen,WRONG_SPAN,3,1296,0.23148148148148145
bert-base-multilingual-cased,span,Unseen,EXTEND_BOTH,1,1440,0.06944444444444445
bert-base-multilingual-cased,span,Unseen,EXTEND_END,7,1440,0.4861111111111111
bert-base-multilingual-cased,span,Unseen,EXTEND_START,1,1440,0.06944444444444445
bert-base-multilingual-cased,span,Unseen,MISS,195,1440,13.541666666666666
bert-base-multilingual-cased,span,Unseen,MULTI_SPAN,47,1440,3.2638888888888893
bert-base-multilingual-cased,span,Unseen,PARTIAL_BOTH,23,1440,1.597222222222222
bert-base-multilingual-cased,span,Unseen,PARTIAL_END,248,1440,17.22222222222222
bert-base-multilingual-cased,span,Unseen,PARTIAL_START,1,1440,0.06944444444444445
bert-base-multilingual-cased,span,Unseen,PERFECT,803,1440,55.76388888888889
bert-base-multilingual-cased,span,Unseen,SHIFT,5,1440,0.3472222222222222
bert-base-multilingual-cased,span,Unseen,WRONG_SPAN,109,1440,7.569444444444444
dictabert,cls,Seen,CORRECT,1220,1296,94.1358024691358
dictabert,cls,Seen,FALSE_NEGATIVE,62,1296,4.78395061728395
dictabert,cls,Seen,FALSE_POSITIVE,14,1296,1.0802469135802468
dictabert,cls,Unseen,CORRECT,1328,1440,92.22222222222223
dictabert,cls,Unseen,FALSE_NEGATIVE,35,1440,2.430555555555556
dictabert,cls,Unseen,FALSE_POSITIVE,77,1440,5.347222222222222
dictabert,span,Seen,MISS,3,1296,0.23148148148148145
